best_config,fold,n_train,n_validation,accuracy,balanced_accuracy,f1_score,auc,accuracy_sem,balanced_accuracy_sem,f1_score_sem,auc_sem
"{'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 2, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 13}""]}",1.0,180.0,20.0,0.75,0.75,0.7368421052631577,0.75,,,,
"{'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 2, 'RandomForestClassifier__min_samples_split': 4, 'RandomForestClassifier__n_estimators': 18}""]}",2.0,180.0,20.0,0.6,0.6000000000000001,0.5,0.6000000000000001,,,,
"{'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 2, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 18}""]}",3.0,180.0,20.0,0.65,0.6499999999999999,0.631578947368421,0.65,,,,
"{'EstimatorSwitch': [""{'DecisionTreeClassifier__min_samples_leaf': 1, 'DecisionTreeClassifier__min_samples_split': 4}""]}",4.0,180.0,20.0,0.55,0.55,0.5714285714285713,0.5499999999999999,,,,
"{'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 2, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 13}""]}",5.0,180.0,20.0,0.5,0.5,0.5833333333333334,0.49999999999999994,,,,
"{'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 4, 'RandomForestClassifier__n_estimators': 14}""]}",6.0,180.0,20.0,0.5,0.5,0.5454545454545454,0.5,,,,
"{'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 8}""]}",7.0,180.0,20.0,0.65,0.65,0.4615384615384615,0.65,,,,
"{'EstimatorSwitch': [""{'DecisionTreeClassifier__min_samples_leaf': 1, 'DecisionTreeClassifier__min_samples_split': 3}""]}",8.0,180.0,20.0,0.75,0.75,0.7058823529411764,0.75,,,,
"{'EstimatorSwitch': [""{'DecisionTreeClassifier__min_samples_leaf': 1, 'DecisionTreeClassifier__min_samples_split': 3}""]}",9.0,180.0,20.0,0.6,0.6,0.6,0.6,,,,
"{'EstimatorSwitch': [""{'DecisionTreeClassifier__min_samples_leaf': 1, 'DecisionTreeClassifier__min_samples_split': 4}""]}",10.0,180.0,20.0,0.45,0.45,0.4210526315789474,0.45000000000000007,,,,
Overall,,,200.0,0.6,0.5999999999999999,0.5757110948906614,0.5999999999999999,0.02938769068226293,0.02938769068226293,0.028651134271997343,0.02938769068226293
