best_config,fold,n_train,n_validation,accuracy,balanced_accuracy,f1_score,auc,accuracy_sem,balanced_accuracy_sem,f1_score_sem,auc_sem
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 5}""]}",1.0,324.0,36.0,0.4166666666666667,0.5303030303030303,0.16,0.5303030303030303,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 4, 'RandomForestClassifier__n_estimators': 12}""]}",2.0,324.0,36.0,0.6111111111111112,0.48484848484848486,0.125,0.4848484848484848,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'DecisionTreeClassifier__min_samples_leaf': 2, 'DecisionTreeClassifier__min_samples_split': 3}""]}",3.0,324.0,36.0,0.5277777777777778,0.43939393939393934,0.10526315789473684,0.43939393939393934,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 10}""]}",4.0,324.0,36.0,0.6388888888888888,0.6515151515151515,0.23529411764705882,0.6515151515151515,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 3, 'RandomForestClassifier__n_estimators': 7}""]}",5.0,324.0,36.0,0.4444444444444444,0.5454545454545454,0.16666666666666666,0.5454545454545454,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 3, 'RandomForestClassifier__n_estimators': 17}""]}",6.0,324.0,36.0,0.5277777777777778,0.7424242424242424,0.2608695652173913,0.7424242424242424,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 2, 'RandomForestClassifier__min_samples_split': 2, 'RandomForestClassifier__n_estimators': 11}""]}",7.0,324.0,36.0,0.5555555555555556,0.606060606060606,0.2,0.606060606060606,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'SVC__C': 0.653061224489796, 'SVC__kernel': 'rbf'}""]}",8.0,324.0,36.0,0.7777777777777778,0.4375,0.0,0.4375,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'SVC__C': 1.3877551020408163, 'SVC__kernel': 'rbf'}""]}",9.0,324.0,36.0,0.8055555555555556,0.453125,0.0,0.453125,,,,
"{'ImbalancedDataTransformer': ['method_name=RandomUnderSampler'], 'EstimatorSwitch': [""{'RandomForestClassifier__min_samples_leaf': 1, 'RandomForestClassifier__min_samples_split': 4, 'RandomForestClassifier__n_estimators': 12}""]}",10.0,324.0,36.0,0.5,0.609375,0.24999999999999997,0.609375,,,,
Overall,,,360.0,0.5805555555555555,0.55,0.1503093507425854,0.55,0.03716413377849904,0.029065547428210048,0.026979849860959925,0.029065547428210048
